DESCRIP,,Cigarette,Generic,Value,Cigar,Snuff,Loose tobacco,Flavored,Menthol,Premium,Implied discount
KING CARTON CIGS (PL,,1,1,0,0,0,0,0,0,0,0
100'S CARTON CIGS (P,,1,1,0,0,0,0,0,0,0,0
25 CT SINGLE PACK CI,,1,1,0,0,0,0,0,0,0,0
GENERIC SINGLE,,1,1,0,0,0,0,0,0,0,0
KING CARTON PRICE VA,,1,1,0,0,0,0,0,0,0,0
100'S CARTON PRICE V,,1,1,0,0,0,0,0,0,0,0
CIGARETTES SINGLE PA,,1,1,0,0,0,0,0,0,0,0
CIGARETTES (SINGLE P,,1,1,0,0,0,0,0,0,0,0
100'S CARTON,,1,1,0,0,0,0,0,0,0,0
KING CARTON,,1,1,0,0,0,0,0,0,0,0
KING & REG CIGARETTE,,1,1,0,0,0,0,0,0,0,0
100'S CARTON CIGARET,,1,1,0,0,0,0,0,0,0,0
GENERIC CARTON CIGAR,,0,1,0,1,0,0,0,0,0,0
SUB GENERIC SINGLE,,1,0,1,0,0,0,0,0,0,0
100'S CIGARETTE CART,,1,1,0,0,0,0,0,0,0,0
WINSTON KING CARTON,,1,0,1,0,0,0,0,0,0,0
WINSTON KING PACK,,1,0,1,0,0,0,0,0,0,0
WINSTON 100'S CARTON,,1,0,1,0,0,0,0,0,0,0
GENERIC CARTON,,1,1,0,0,0,0,0,0,0,0
PRICE VALUE KING CAR,,1,0,1,0,0,0,0,0,0,0
WINSTON SELECT 20Õ O,,1,0,0,0,0,0,0,0,0,0
WINSTON SELECT $2 OF,,1,0,0,0,0,0,0,0,0,0
GENERIC(WHITE)100 CA,,1,1,0,0,0,0,0,0,0,0
GENERIC (B/W) SINGLE,,1,1,0,0,0,0,0,0,0,0
CIGARETTES B2G BONUS,,1,1,0,0,0,0,0,0,0,0
DORAL 2PK,,1,0,1,0,0,0,1,1,0,0
WINCHESTER 20'S,,1,0,0,0,0,0,0,0,0,0
SUB GENERIC SINGLE P,,1,1,1,0,0,0,0,0,0,0
SUB GENERIC 100'S CA,,1,1,1,0,0,0,0,0,0,0
SUB GENERIC KING CAR,,1,1,1,0,0,0,0,0,0,0
SUB GENERIC CARTON,,1,1,1,0,0,0,0,0,0,0
GENERIC SINGLE PACK,,1,1,1,0,0,0,0,0,0,0
SUB GENERIC,,1,1,1,0,0,0,0,0,0,0
NAME-GENERIC CIGS KI,,1,1,0,0,0,0,0,0,0,0
NAME-GENERIC CIGS 10,,1,1,0,0,0,0,0,0,0,0
PRICE VALUE CIGARETT,,1,1,1,0,0,0,0,0,0,0
KOOL CIGARETTES SING,,1,0,0,0,0,0,1,1,0,0
